Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
"PARKS, FORESTRY & RECREATION"	5604-17	2020-08-24	2020-08-26	#815 PARTY CITY	72.77	CAD	72.77	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00705	N-CENTRAL-SPORTS & REC-AQ. LEIS. INDOOR	5947	"Card, Gift, Novelty, and Souvenir Shops"	STAFF ENGAGEMENT
"PARKS, FORESTRY & RECREATION"	5605-24	2020-08-25	2020-08-27	THE HOME DEPOT #7129	84.55	CAD	84.55	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P01791	LEADERSHIP AQUATICS - NY DISTRICT	5200	Home Supply Warehouse	**MORE**  HDMTGTP
					"1,021.84"	CAD	"1,021.84"	CAD							
"PARKS, FORESTRY & RECREATION"	5596-25	2020-08-13	2020-08-14	BALL SUPERIOR	131.25	CAD	131.25	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00113	ALLAN GDNS CONS-PLANT PRODUCTION	5193	"Florists Supplies, Nursery Stock, and Fl"	DELIEVERY OF SPECIALTY PLANTS POINSETTA CUTTINGS
					131.25	CAD	131.25	CAD							
ECONOMIC DEVELOPMENT & CULTURE	5593-9	2020-08-10	2020-08-11	DOLLARAMA # 261	57.56	CAD	57.56	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0075	MH MUS COLBORNE LODGE PROGRAMMING	5310	Discount Stores	PROGRAM SUPPLIES
ECONOMIC DEVELOPMENT & CULTURE	5593-10	2020-08-10	2020-08-11	CURRY'S ART STORE	9.07	CAD	9.07	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0075	MH MUS COLBORNE LODGE PROGRAMMING	5970	"Artist Supply Stores, Craft Shops"	PROGRAM SUPPLIES
ECONOMIC DEVELOPMENT & CULTURE	5604-18	2020-08-25	2020-08-26	METRO STORE #772	20.88	CAD	20.88	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0075	MH MUS COLBORNE LODGE PROGRAMMING	5411	"Grocery Stores, Supermarkets"	PROGRAM SUPPLIES
					87.51	CAD	87.51	CAD							
FACILITIES MANAGEMENT	5586-51	2020-07-30	2020-08-03	THE HOME DEPOT #7001	141.82	CAD	141.82	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61607552	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5200	Home Supply Warehouse	**MORE**  2X6X10 SPF.
