Division 	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
ECONOMIC DEVELOPMENT & CULTURE	5835-2	2021-06-30	2021-07-01	DOLLARAMA # 555	14.97	CAD	14.97	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5310	Discount Stores	"TEXTILE MARKERS, MODELLING CLAY"
ECONOMIC DEVELOPMENT & CULTURE	5837-4	2021-06-30	2021-07-05	WMT SUPRCTR #1117	200.18	CAD	200.18	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5411	"Grocery Stores, Supermarkets"	"FOIL, RUBBER BANDS, STICKS, BEADS"
ECONOMIC DEVELOPMENT & CULTURE	5846-8	2021-07-14	2021-07-15	DOLLARAMA # 555	112.38	CAD	112.38	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5310	Discount Stores	"PILARS, STICKERS, PUSH PINS"
ECONOMIC DEVELOPMENT & CULTURE	5846-9	2021-07-14	2021-07-15	MICHAELS #4918	730.65	CAD	730.65	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5945	"Game, Toy, and Hobby Shops"	"SCULPY, WOOL"
ECONOMIC DEVELOPMENT & CULTURE	5846-10	2021-07-14	2021-07-15	MICHAELS #4918	31.32	CAD	31.32	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0018	AC AS CEDAR RIDGE CREATIVE CENTRE	5945	"Game, Toy, and Hobby Shops"	"YARN NEEDLE, SCULPY"
ECONOMIC DEVELOPMENT & CULTURE	5852-2	2021-07-21	2021-07-23	WAL-MART #3186	398.40	CAD	398.40	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0168	AC AS CLARK CENTRE FOR THE ARTS	5411	"Grocery Stores, Supermarkets"	STORAGE BOXES
ECONOMIC DEVELOPMENT & CULTURE	5857-4	2021-07-28	2021-07-30	WMT SUPRCTR #1117	98.25	CAD	98.25	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0168	AC AS CLARK CENTRE FOR THE ARTS	5411	"Grocery Stores, Supermarkets"	STORAGE BOXES
					"1,586.15"	CAD	"1,586.15"	CAD							
TORONTO WATER	5837-5	2021-07-02	2021-07-05	THE HOME DEPOT #7012	325.04	CAD	325.04	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7075	WTR TREAT & SUPPLY:TRANSMISSION-CTRL SVC	5200	Home Supply Warehouse	**MORE**  ADAPTER
TORONTO WATER	5847-3	2021-07-14	2021-07-16	CDN TIRE STORE #00654	188.64	CAD	188.64	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7075	WTR TREAT & SUPPLY:TRANSMISSION-CTRL SVC	5200	Home Supply Warehouse	"IMPACT SWIVEL, WASH BRUSH, CLEANER"
TORONTO WATER	5847-4	2021-07-15	2021-07-16	LOWES #02633	168.37	CAD	168.37	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7075	WTR TREAT & SUPPLY:TRANSMISSION-CTRL SVC	5200	Home Supply Warehouse	EXIT DEVICE W/PULL PLATE BAKED EN
TORONTO WATER	5848-3	2021-07-14	2021-07-19	PACIFIC FASTENERS (198	216.42	CAD	216.42	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7075	WTR TREAT & SUPPLY:TRANSMISSION-CTRL SVC	5251	Hardware Stores	"NUTS, BOLTS, KEY STOCK"
TORONTO WATER	5851-3	2021-07-20	2021-07-22	CDN TIRE STORE #00654	115.19	CAD	115.19	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7075	WTR TREAT & SUPPLY:TRANSMISSION-CTRL SVC	5200	Home Supply Warehouse	"SANDING SLEEVE, SANDING DRUM, DEWALT SCREW BITS"
TORONTO WATER	5851-4	2021-07-20	2021-07-22	CDN TIRE STORE #00654	36.69	CAD	36.69	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7075	WTR TREAT & SUPPLY:TRANSMISSION-CTRL SVC	5200	Home Supply Warehouse	"CONTACT SPRAY, TORX SCREW DRIVER"
TORONTO WATER	5852-3	2021-07-21	2021-07-23	CDN TIRE STORE #00654	29.35	CAD	29.35	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7075	WTR TREAT & SUPPLY:TRANSMISSION-CTRL SVC	5200	Home Supply Warehouse	"WASP/BEE SPRAY, CAULKING"
TORONTO WATER	5856-3	2021-07-27	2021-07-29	THE HOME DEPOT #7132	37.26	CAD	37.26	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7075	WTR TREAT & SUPPLY:TRANSMISSION-CTRL SVC	5200	Home Supply Warehouse	27IN1TAMPSD
TORONTO WATER	5856-4	2021-07-29	2021-07-29	LOWES #03162	-168.37	CAD	-168.37	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7075	WTR TREAT & SUPPLY:TRANSMISSION-CTRL SVC	5200	Home Supply Warehouse	RETURN DOOR EXIT PUSH BAR
